Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
SELENOP	NA	Protein Coding	Macrophages (perivascular)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human PVM marker (Table 2); Selenoprotein P; anti-oxidative macrophage marker
C1QA	NA	Protein Coding	Macrophages (perivascular)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human PVM marker (Table 2); complement C1q subunit A; tissue-resident macrophage marker
NA	Cd163	Protein Coding	Macrophages (perivascular)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse PVM marker (Table 3); CD163; scavenger receptor; anti-inflammatory macrophage marker
NA	Cd209f	Protein Coding	Macrophages (perivascular)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse PVM marker (Table 3); mouse-specific DC-SIGN family member; not present in human
CD9	Cd9	Protein Coding	Macrophages (lipid-associated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus LAM marker; tetraspanin CD9; Table 2 & 3; marks crown-like structures in obese adipose tissue
TREM2	Trem2	Protein Coding	Macrophages (lipid-associated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus LAM marker; triggering receptor expressed on myeloid cells 2; Table 2 & 3; obesity-induced
LPL	Lpl	Protein Coding	Macrophages (lipid-associated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus LAM marker; Table 2 & 3; dual-use: also expressed in adipocytes (lipogenic function)
CCL3L1	NA	Protein Coding	Macrophages (inflammatory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human inflammatory macrophage marker (Table 2); MIP-1alpha-related; pro-inflammatory chemokine
TNF	NA	Protein Coding	Macrophages (inflammatory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human inflammatory macrophage marker (Table 2); Tumor necrosis factor; classical M1 marker
CXCL3	NA	Protein Coding	Macrophages (inflammatory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human inflammatory macrophage marker (Table 2); GROgamma; neutrophil-attracting chemokine
NA	Maoa	Protein Coding	Macrophages (nerve-associated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse NAM marker (Table 3); Monoamine oxidase A; nerve-associated macrophage subset
NA	St3gal6	Protein Coding	Macrophages (nerve-associated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse NAM marker (Table 3); ST3 beta-galactoside alpha-2,3-sialyltransferase 6
NA	Lilra5	Protein Coding	Macrophages (nerve-associated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse NAM marker (Table 3); leukocyte immunoglobulin-like receptor subfamily A member 5


HDC	Hdc	Protein Coding	Enteroendocrine cells (ECL)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	Histidine decarboxylase; enterochromaffin-like (ECL) cell marker; histamine synthesis; stimulates parietal cell acid secretion; increased after sleeve gastrectomy
GAST	Gast	Protein Coding	Enteroendocrine cells (G cell)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	Gastrin; G cell marker; antral endocrine hormone; stimulates parietal cell acid secretion and ECL cell histamine release
SST	Sst	Protein Coding	Enteroendocrine cells (D cell)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	Somatostatin; D cell marker; inhibits gastrin and acid secretion; antral and fundic D cells
GHRL	Ghrl	Protein Coding	Enteroendocrine cells (X/A cell)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236); Nowicki-Osuch et al, Cancer Discov, 2023 (DOI: 10.1158/2159-8290.cd-23-0386)	Literature Review	2026-02-27	Ghrelin; X/A-like (oxyntic ghrelin) cell marker; hunger hormone; predominantly in fundic mucosa; absent in esophageal gastric metaplasia
TPH1	Tph1	Protein Coding	Enteroendocrine cells (EC cell)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	Tryptophan hydroxylase 1; enterochromaffin (EC) cell marker; serotonin synthesis; gastric motility regulation
SMOC2	Smoc2	Protein Coding	Gastric stem cells (isthmus)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	SPARC related modular calcium binding 2; gastric isthmus/stem cell marker; expressed in linking cells between chief and neck lineages
ASCL2	Ascl2	Protein Coding	Gastric stem cells (isthmus)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	Achaete-scute family bHLH transcription factor 2; gastric/intestinal stem cell marker; WNT target; Lgr5+ stem cell-associated
EPHB2	Ephb2	Protein Coding	Gastric stem cells (isthmus)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	Ephrin type-B receptor 2; gastric stem cell marker; WNT-regulated positional cue in gastric glands
PROM1	Prom1	Protein Coding	Gastric stem cells (isthmus)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	Prominin-1 (CD133); gastric stem and cancer stem cell marker; also marks high-stemness cancer cells
TNFRSF19	Tnfrsf19	Protein Coding	Gastric stem cells (isthmus)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	TNF receptor superfamily member 19 (TROY); gastric stem cell marker; expressed in linking cells
MUC6	Muc6	Protein Coding	Metaplastic cells (SPEM)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2); Nowicki-Osuch et al, Cancer Discov, 2023 (DOI: 10.1158/2159-8290.cd-23-0386)	Literature Review	2026-02-27	SPEM (spasmolytic polypeptide-expressing metaplasia) marker; co-expressed with TFF2 and CD44; arises from transdifferentiation of chief cells
TFF2	Tff2	Protein Coding	Metaplastic cells (SPEM)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2); Nowicki-Osuch et al, Cancer Discov, 2023 (DOI: 10.1158/2159-8290.cd-23-0386)	Literature Review	2026-02-27	Spasmolytic polypeptide; defining SPEM marker; co-expressed with MUC6; TFF2-expressing metaplasia is pre-neoplastic lesion
SOX9	Sox9	Protein Coding	Metaplastic cells (SPEM)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	SRY-box transcription factor 9; SPEM/metaplasia marker; promotes intestinal fate; elevated in chief-to-SPEM transition
CDX2	Cdx2	Protein Coding	Metaplastic cells (intestinal)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236); Nowicki-Osuch et al, Cancer Discov, 2023 (DOI: 10.1158/2159-8290.cd-23-0386)	Literature Review	2026-02-27	Caudal-type homeobox transcription factor 2; master intestinal metaplasia transcription factor; defines IM lineage in stomach; SOX2(normal) vs CDX2(IM) axis
MUC2	Muc2	Protein Coding	Metaplastic cells (intestinal)	Stomach	Nowicki-Osuch et al, Cancer Discov, 2023 (DOI: 10.1158/2159-8290.cd-23-0386)	Literature Review	2026-02-27	Mucin 2; intestinal goblet cell and IM marker; gel-forming mucin of intestinal mucosa; present in complete-type IM
GPA33	Gpa33	Protein Coding	Metaplastic cells (intestinal)	Stomach	Nowicki-Osuch et al, Cancer Discov, 2023 (DOI: 10.1158/2159-8290.cd-23-0386); Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Glycoprotein A33; intestinal epithelial marker; expressed in IM and intestinal-type cancer; used in KRT20+ differentiated cluster
APOA1	Apoa1	Protein Coding	Metaplastic cells (intestinal)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Apolipoprotein A1; intestinal enterocyte and IM marker; marks C2 intestinal-type cancer cells
FABP2	Fabp2	Protein Coding	Metaplastic cells (intestinal)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Fatty acid-binding protein 2; intestinal enterocyte and IM marker; intestinal lipid metabolism
KRT20	Krt20	Protein Coding	Metaplastic cells (intestinal)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Keratin 20; differentiated intestinal epithelial and IM marker; marks KRT20+ differentiated cancer cell cluster
S100A4	S100a4	Protein Coding	Fibroblasts (resting)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	S100 calcium-binding protein A4 (FSP1); resting/quiescent fibroblast marker in gastric stroma; F01-SLPI subtype
SLPI	Slpi	Protein Coding	Fibroblasts (resting)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Secretory leukocyte protease inhibitor; resting fibroblast (F01-SLPI) marker; anti-inflammatory; mucosal protection
PI16	Pi16	Protein Coding	Fibroblasts (resting)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Peptidase inhibitor 16; resting interstitial fibroblast marker; also ASPC pan-marker in adipose tissue
CFD	Cfd	Protein Coding	Fibroblasts (resting)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Complement factor D (adipsin); resting gastric fibroblast marker; complement alternative pathway
COL15A1	Col15a1	Protein Coding	Fibroblasts (resting)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Collagen type XV alpha 1; resting fibroblast marker (F01-SLPI subtype); basement membrane collagen
CXCL14	Cxcl14	Protein Coding	Cancer-associated fibroblasts (myCAF)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Chemokine CXCL14; myofibroblastic CAF (F13-CTHRC1) marker; immune modulation; co-expressed with POSTN and CTHRC1
COL3A1	Col3a1	Protein Coding	Cancer-associated fibroblasts (myCAF)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Collagen type III alpha 1; myoCAF marker; fibrillar collagen promoting tumor stiffness; F13-CTHRC1 CAF subtype
MMP1	Mmp1a	Protein Coding	Cancer-associated fibroblasts (myCAF)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Matrix metalloproteinase 1; myoCAF (F13-CTHRC1) marker; collagen degradation; promotes tumor invasion; mouse has Mmp1a/Mmp1b
MMP3	Mmp3	Protein Coding	Cancer-associated fibroblasts (myCAF)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Matrix metalloproteinase 3 (stromelysin); myoCAF marker; broad ECM degradation; epithelial-mesenchymal transition inducer
TWIST1	Twist1	Protein Coding	Cancer-associated fibroblasts (myCAF)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Twist family bHLH TF 1; myoCAF marker; EMT master regulator; promotes invasion and metastasis
PDPN	Pdpn	Protein Coding	Cancer-associated fibroblasts (myCAF)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Podoplanin; myoCAF and apCAF marker; lymphangiogenesis; tumor invasion; also marker of activated fibroblasts
WNT5A	Wnt5a	Protein Coding	Cancer-associated fibroblasts (myCAF)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236); Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	WNT family member 5A; myoCAF marker; non-canonical WNT signaling; PDGFRA+BMP4+WNT5A+ fibroblasts drive IM switch
ANGPT2	Angpt2	Protein Coding	Cancer-associated fibroblasts (angioCAF)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Angiopoietin 2; angiogenic CAF (F12-ANGPT2) marker; promotes tumor angiogenesis; also marks angiogenic tip endothelial cells
EGFL6	Egfl6	Protein Coding	Cancer-associated fibroblasts (angioCAF)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	EGF-like domain multiple 6; angiogenic CAF (F12-ANGPT2) marker; co-expressed with ANGPT2 in tumor-associated angiogenic fibroblasts
BMP4	Bmp4	Protein Coding	Fibroblasts (PDGFRA+BMP4+WNT5A+)	Stomach	Tsubosaka et al, Cell Rep, 2023 (DOI: 10.1016/j.celrep.2023.113236)	Literature Review	2026-02-27	Bone morphogenetic protein 4; PDGFRA+BMP4+WNT5A+ fibroblast subtype marker; drives intestinal metaplasia epithelial switch in stomach
CXCL11	NA	Protein Coding	Fibroblasts (CXCL11+APOE+)	Stomach	Li et al, J Transl Med, 2025 (DOI: 10.1186/s12967-025-06150-w)	Literature Review	2026-02-27	C-X-C motif chemokine 11; CXCL11+APOE+ fibroblast subtype; regulates inflammatory response in chronic atrophic gastritis; mouse lacks functional CXCL11 in most strains
APOE	Apoe	Protein Coding	Fibroblasts (CXCL11+APOE+)	Stomach	Li et al, J Transl Med, 2025 (DOI: 10.1186/s12967-025-06150-w)	Literature Review	2026-02-27	Apolipoprotein E; CXCL11+APOE+ fibroblast subtype in chronic atrophic gastritis; co-expressed with APOE in M07 macrophages (dual-use marker)
GJA5	Gja5	Protein Coding	Endothelial cells (arterial)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Connexin-40 (Cx40); arterial endothelial cell marker; gap junction protein; Notch-regulated arterial identity
TSPAN2	Tspan2	Protein Coding	Endothelial cells (arterial)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Tetraspanin 2; arterial endothelial cell marker; co-expressed with GJA5 in arterial ECs
CA4	Car4	Protein Coding	Endothelial cells (capillary)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Carbonic anhydrase 4; capillary endothelial marker; human CA4 / mouse Car4 ortholog pair; also capillary EC marker in adipose tissue
BTNL9	Btnl9	Protein Coding	Endothelial cells (capillary)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Butyrophilin-like protein 9; capillary endothelial cell marker; co-expressed with CA4 in capillary ECs
ACKR1	Ackr1	Protein Coding	Endothelial cells (venous)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Atypical chemokine receptor 1 (DARC/Duffy antigen); venous and post-capillary venule EC marker; also marks HEV cells; chemokine scavenger
CPE	Cpe	Protein Coding	Endothelial cells (venous)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Carboxypeptidase E; venous post-capillary EC marker (EN-CPE+ subtype); co-expressed with ACKR1 in venule-associated ECs
ESM1	Esm1	Protein Coding	Endothelial cells (tumor-activated)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Endothelial cell-specific molecule 1 (Endocan); tumor-activated/angiogenic EC marker (EN03-ESM1); poor prognosis; VWA1 co-expressed
SERPINE1	Serpine1	Protein Coding	Endothelial cells (tumor-activated)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Plasminogen activator inhibitor-1 (PAI-1); tumor-activated EC marker (EN10-SERPINE1); poor prognosis; promotes tumor angiogenesis and coagulation
F13A1	F13a1	Protein Coding	Macrophages (tissue-resident)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Coagulation Factor XIII A1; tissue-resident macrophage (FOLR2+) marker; gastric stromal macrophages; dual-use: also expressed in fibroblasts
CCL2	Ccl2	Protein Coding	Macrophages (tissue-resident)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	CCL2 (MCP-1); tissue-resident macrophage marker; monocyte recruitment; expressed in FOLR2+ resident macrophages
FOLR2	Folr2	Protein Coding	Macrophages (tissue-resident)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Folate receptor 2; tissue-resident macrophage (FOLR2+) pan-marker in gastric tissue; defines homeostatic macrophage population
LYVE1	Lyve1	Protein Coding	Macrophages (tissue-resident)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	LYVE1; tissue-resident/perivascular macrophage marker; dual-use: also marks lymphatic endothelial cells
IL1B	Il1b	Protein Coding	Macrophages (proinflammatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Interleukin-1 beta; proinflammatory macrophage marker; S100A8/S100A9 co-expressing M1-like macrophage subtype; key H. pylori-driven cytokine
NA	Cxcl1	Protein Coding	Macrophages (proinflammatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Mouse functional equivalent of human CXCL8 (IL-8); proinflammatory macrophage marker; neutrophil recruitment; human CXCL8 has no functional mouse ortholog
APOE	Apoe	Protein Coding	Macrophages (anti-inflammatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Apolipoprotein E; anti-inflammatory (M07-APOE) macrophage marker; lipid metabolism; dual-use: also marks CXCL11+APOE+ fibroblasts in CAG
MAF	Maf	Protein Coding	Macrophages (anti-inflammatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	MAF bZIP transcription factor; anti-inflammatory macrophage (M07-APOE) TF; tissue-resident macrophage identity
SELENOP	Selenop	Protein Coding	Macrophages (anti-inflammatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Selenoprotein P; anti-inflammatory macrophage marker; antioxidant; also marks perivascular macrophages in adipose tissue
C1QB	C1qb	Protein Coding	Macrophages (anti-inflammatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Complement C1q subunit B; anti-inflammatory macrophage (M07-APOE) marker; complement activation; also C1Q+ macrophage marker in atrophic gastritis
C1QA	C1qa	Protein Coding	Macrophages (anti-inflammatory)	Stomach	Li et al, J Transl Med, 2025 (DOI: 10.1186/s12967-025-06150-w)	Literature Review	2026-02-27	Complement C1q subunit A; C1Q+ macrophage marker; reduced in chronic atrophic gastritis; protective anti-inflammatory macrophage subset
SPP1	Spp1	Protein Coding	Macrophages (tumor-associated)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Osteopontin; tumor-associated macrophage (M11-SPP1) pan-marker; poor prognosis in gastric cancer; promotes tumor invasion
LAMP3	Lamp3	Protein Coding	Dendritic cells (activated)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	CD208 (LAMP3); activated/migratory DC marker; maturation marker; marks LAMP3+ immunosuppressive DC subtype in gastric cancer
CD274	Cd274	Protein Coding	Dendritic cells (activated)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	PD-L1; checkpoint ligand on activated LAMP3+ DCs; immunosuppressive; checkpoint immunotherapy target
IDO1	Ido1	Protein Coding	Dendritic cells (activated)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Indoleamine 2,3-dioxygenase 1; activated/immunosuppressive DC marker; tryptophan catabolism; T cell suppression
CLEC9A	Clec9a	Protein Coding	Dendritic cells (cDC1)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	DNGR-1; cDC1 (M16-CLEC9A) marker; dead cell sensing; cross-presentation capacity; paired with FLT3
CLEC4C	Clec4c	Protein Coding	Dendritic cells (plasmacytoid)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	BDCA-2; plasmacytoid DC (M18-CLEC4C) marker; type I interferon production
CD1C	Cd1c	Protein Coding	Dendritic cells (cDC2)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	CD1c (BDCA-1); cDC2 (M03-CD1C) marker; lipid antigen presentation; distinguishes cDC2 from cDC1
FOXP3	Foxp3	Protein Coding	T cell (regulatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2); Wang et al, Nat Commun, 2025 (DOI: 10.1038/s41467-025-59339-4)	Literature Review	2026-02-27	Master Treg transcription factor; regulatory T cell (T01-ICOS) marker; immunosuppressive; expanded in H. pylori-infected stomach
IL2RA	Il2ra	Protein Coding	T cell (regulatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	CD25 (IL-2 receptor alpha); Treg activation marker; co-expressed with FOXP3 in activated gastric Tregs
ICOS	Icos	Protein Coding	T cell (regulatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Inducible T cell co-stimulator; Treg (T01-ICOS subtype) marker; co-stimulatory molecule on activated Tregs
CCR8	Ccr8	Protein Coding	T cell (regulatory)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	CCR8; highly activated Treg marker; potential therapeutic target for Treg depletion; tumor-infiltrating Treg-specific
IL17A	Il17a	Protein Coding	T cells (Tc17)	Stomach	Sun et al, Nat Commun, 2022 (DOI: 10.1038/s41467-022-32627-z)	Literature Review	2026-02-27	Interleukin 17A; Tc17 cell (IL-17+CD8+) defining marker; alternative T cell exhaustion pathway discovered in gastric cancer; originates from tissue-resident memory T cells
CXCL13	Cxcl13	Protein Coding	T cells (follicular helper)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2); Sun et al, Nat Commun, 2025 (DOI: 10.1038/s41467-025-65421-8)	Literature Review	2026-02-27	CXCL13 (BCA-1); T follicular helper (Tfh) and TLS-associated T cell marker; defines TLS-enriched tumors; CXCL13+T cells predict GC prognosis
HAVCR2	Havcr2	Protein Coding	T cells (exhausted CD8)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2); Wang et al, Nat Commun, 2025 (DOI: 10.1038/s41467-025-59339-4)	Literature Review	2026-02-27	TIM-3 (T cell immunoglobulin and mucin domain 3); exhausted CD8+ T cell marker; checkpoint molecule; expanded in H. pylori-infected and tumor-infiltrating T cells
LAG3	Lag3	Protein Coding	T cells (exhausted CD8)	Stomach	Wang et al, Nat Commun, 2025 (DOI: 10.1038/s41467-025-59339-4)	Literature Review	2026-02-27	Lymphocyte activation gene 3; T cell exhaustion marker; checkpoint molecule; expanded in H. pylori-driven immunosuppression
TOX	Tox	Protein Coding	T cells (exhausted CD8)	Stomach	Wang et al, Nat Commun, 2025 (DOI: 10.1038/s41467-025-59339-4)	Literature Review	2026-02-27	Thymocyte selection-associated HMG box factor; master T cell exhaustion TF; drives epigenetic exhaustion program; elevated in gastric tumor-infiltrating T cells
PDCD1	Pdcd1	Protein Coding	T cells (exhausted CD8)	Stomach	Wang et al, Nat Commun, 2025 (DOI: 10.1038/s41467-025-59339-4); Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	PD-1; checkpoint receptor on exhausted T cells; key target of checkpoint immunotherapy (pembrolizumab) in gastric cancer
GZMB	Gzmb	Protein Coding	T cells (cytotoxic CD8)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Granzyme B; cytotoxic CD8+ T cell effector molecule; tissue-resident memory CD8 (GZMB+) marker; tumor cell killing
GZMK	Gzmk	Protein Coding	T cells (effector memory CD8)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Granzyme K; effector memory CD8+ T cell marker; less cytotoxic than GZMB; also expressed in tissue-resident NK cells
ANXA1	Anxa1	Protein Coding	T cells (effector memory CD8)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Annexin A1; effector memory CD8+ and CD4+ T cell marker; anti-inflammatory signaling; tissue residency-associated
CLDN18	Cldn18	Protein Coding	Epithelial cells (cancer, diffuse)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Claudin-18; diffuse-type gastric cancer marker; CLDN18.2 isoform is therapeutic target (zolbetuximab); expressed in gastric-type cancer cells
CLDN4	Cldn4	Protein Coding	Epithelial cells (cancer, intestinal)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Claudin-4; malignant epithelial cell marker; EP11-CLDN7 (CLDN4/CLDN7 high) aneuploid gastric cancer subtype; tight junction disruption
REG4	Reg4	Protein Coding	Epithelial cells (cancer, intestinal)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Regenerating islet-derived protein 4; intestinal-type gastric cancer and goblet cell-like marker; antimicrobial lectin
LY6K	Ly6k	Protein Coding	Epithelial cells (cancer, EBV+)	Stomach	Peng et al, Genome Biol, 2022 (DOI: 10.1186/s13059-022-02828-2)	Literature Review	2026-02-27	Lymphocyte antigen 6K; EBV-associated gastric cancer (EBVaGC) marker; C5 EBV+ tumor subtype; also expressed in testis
AICDA	Aicda	Protein Coding	B cells (germinal center)	Stomach	Sun et al, Nat Commun, 2025 (DOI: 10.1038/s41467-025-65421-8)	Literature Review	2026-02-27	Activation-induced cytidine deaminase (AID); germinal center B cell marker within TLS in gastric cancer; somatic hypermutation and class switching
